,conf,i,j,out
2671,9,6692,6756,0.003542295162230
2672,9,2297,2306,0.003459206667925
2673,9,8978,9025,0.003717422207200
2674,9,4932,4946,0.004232622738380
2675,9,2377,2385,0.003453872921350
2676,9,3559,3570,0.003625919969230
2677,9,3493,3507,0.003695967712320
2678,9,7505,7609,0.004419262318150
2679,9,6704,6850,0.005630284920928
2680,9,3346,3460,0.003188735728900
2681,9,6266,6320,0.003817279778740
2682,9,1540,1597,0.004312130334870
2683,9,5947,6135,0.005070310335860
2684,9,5622,5739,0.004234892270920
2685,9,1514,1600,0.004693195977910
2686,9,7237,7304,0.003149882949870
2687,9,4654,4790,0.002407800153680
2688,9,448,465,0.003980726233050
2689,9,1801,1836,0.003765801980314
2690,9,4268,4374,0.003999113436670
2691,10,1734,1737,0.001922724326205
